nome;rating;preco;pais;tipo;descricao;uvas;vinicola;olfativo;gustativo;harmonia;uva1;varietal;price;ano;consumo;texto
Bridlewood Paso Robles Cabernet Sauvignon 2017;4.0;R$122,90;Estados Unidos;Tinto;Meio Seco/Demi-Sec;Cabernet Sauvignon (88%), Merlot (2%), Petite Sirah (10%);Bridlewood Winery;Groselha negra, amora, noz-moscada, canela, cravo;Médio corpo, fresco, taninos macios, bom final, frutado, amadeirado;Vitela com cogumelos, linguine com ragu de calabresa, steak au poivre, berinjela à parmegiana, risoto de queijo provolone, e queijos semiduros.;Cabernet Sauvignon;N;122.9;2017;0;'Estados Unidos' 'Tinto' 'Meio Seco/Demi-Sec' 'Cabernet Sauvignon'
Calyptra Inédito Limited Edition 2015;5.0;R$251,91;Chile;Tinto;Seco;Cabernet Sauvignon (75.00%), Merlot (15.00%), Syrah (10.00%);Calyptra;Frutas negras maduras, defumado, especiarias;Potente, taninos presentes, boa acidez, amadeirado, final persistente;Tournedos de mignon com cogumelos gratinados, costeleta de cordeiro ao molho de hortelã, carré de javali ao molho de pimenta rosa, massa gratinada, escondidinho de carne-seca, queijos de sabor forte.;Cabernet Sauvignon;N;251.91;2015;0;'Chile' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Frei Brothers Reserve Cabernet Sauvignon 2016;5.0;R$230,90;Estados Unidos;Tinto;Seco;Merlot, Petite Sirah, Cabernet Sauvignon;Frei Brothers;Frutas maduras, vegetal, especiarias;Médio corpo, fresco, taninos macios, frutado, final agradável;Carne com legumes, penne à bolonhesa, berinjela à parmegiana, maminha assada, risoto de linguiça fresca, polpetone recheado.;Merlot;N;230.9;2016;0;'Estados Unidos' 'Tinto' 'Seco' 'Merlot'
Château de La Rivière A.O.C. Fronsac 2011;4.5;R$267,90;França;Tinto;Seco;Merlot (84%), Cabernet Franc (8%), Cabernet Sauvignon (6%), Malbec (2%);Château de La Rivière;Fruta negra em compota, alcaçuz, especiarias, defumado, tabaco;Encorpado, taninos macios, acidez agradável, maduro, final longo;Risoto de cogumelo porcino com linguiça toscana, bife ancho com batatas, picanha de cordeiro, pato à antillaise, carneiro na brasa, mix de queijos maturados.;Merlot;N;267.9;2011;0;'França' 'Tinto' 'Seco' 'Merlot'
Salton Campanha Marselan Tannat 2016;3.5;R$100,90;Brasil;Tinto;Seco;Tannat, Marselan;Vinícola Salton;Compota, groselha, mirtilo, ameixa, cassis;Equilibrado, persistente, taninos sedodos;Queijos, risoto de funghi, pizza, massas, costela bovina no bafo, picanha assada, carne ensopada com polenta mole, lasanha à bolonhesa gratinada,;Tannat;N;100.9;2016;0;'Brasil' 'Tinto' 'Seco' 'Tannat'
Espumante Lidio Carraro Mahut Kosher Rosé Brut;0.0;R$108,90;Brasil;Espumante;Brut;Pinot Noir (100%);Lidio Carraro;Cereja, morango, romã, framboesa, floral;Frutado, leve, acidez agradável, mineral;Bruschetta, tomates recheados, quiche, risoto caprese, estrogonofe de frango, salmão grelhado.;Pinot Noir;S;108.9;0;0;'Brasil' 'Espumante' 'Brut' 'Pinot Noir'
Pueblo Del Sol Reserva Viognier 2018;4.5;R$79,90;Uruguai;Branco;Seco;Viognier (100%);Pueblo del Sol;Abacaxi, pera, pêssego, floral;Frutado, fresco, corpo de leve para médio;Filé de peixe ao forno com ervas frescas, espaguete com camarão, brandade de bacalhau, frango assado recheado com farofa, salada de folhas verdes e frutas, queijos frescos.;Viognier;S;79.9;2018;0;'Uruguai' 'Branco' 'Seco' 'Viognier'
Maycas del Limarí Quebrada Seca Chardonnay 2015;5.0;R$286,90;Chile;Branco;Seco;Chardonnay (100%);Maycas del Limarí;Mineral, frutas amarelas maduras, frutas brancas, chá, mel;Encorpado, untuoso, boa acidez, final longo;Ostras frescas ao maracujá, paella, frigideira de siri, lombo suíno com farofa de damasco, frango ao creme de milho, lasanha de ricota e espinafre.;Chardonnay;S;286.9;2015;1;'Chile' 'Branco' 'Seco' 'Chardonnay'
Lidio Carraro Faces do Brasil Chardonnay 2017;4.5;R$63,90;Brasil;Branco;Seco;Chardonnay (80%), Moscato (5%), Riesling Itálico (15%);Lidio Carraro;Abacaxi, maçã verde, floral;Leve. boa acidez, frutado;Espetinho de camarão, risoto caprese, bolinho de bacalhau, galeto assado, penne ao molho branco, abobrinha recheada.;Chardonnay;N;63.9;2017;0;'Brasil' 'Branco' 'Seco' 'Chardonnay'
Louis M. Martini Napa Valley Cabernet Sauvignon 2016;0.0;R$317,90;Estados Unidos;Tinto;Seco;Cabernet Sauvignon;Louis M. Martini Winery;Frutas negras maduras, alcaçuz, couro, tosta, cedro;Complexo, encorpado, taninos presentes, fresco, amadeirado;Filé tornedor ao molho madeira, ojo de bife, lombo de cordeiro ao molho poivre, fondue de carne, parpadelle ao ragu de costela e queijos de massa dura.;Cabernet Sauvignon;S;317.9;2016;0;'Estados Unidos' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Maison Foucher Le Mont A.O.C. Sancerre Rouge 2017;0.0;R$198,90;França;Tinto;Seco;Pinot Noir (100.00%);Maison Foucher;Frutas vermelhas, alcaçuz, especiarias;Corpo de leve para médio, boa acidez, taninos presentes;Tender à brasileira, risoto de tomate seco e champignon, samosa de carne picada, frango assado ao molho de tomate, pizza de pastrami, queijos semiduros.;Pinot Noir;S;198.9;2017;0;'França' 'Tinto' 'Seco' 'Pinot Noir'
Frei Brothers Reserve Russian River Pinot Noir 2016;3.5;R$142,90;Estados Unidos;Tinto;Seco;Pinot Noir (100%);Frei Brothers;Frutas vermelhas, especiarias, defumado;Corpo de leve para médio, taninos macios, acidez agradável;Paillard de mignon com batatas, risoto de queijo brie e abobrinha, gratinado de bacalhau com tomate, picanha suína ao molho de cogumelos, pasta al pomodoro, kafta vegetariana.;Pinot Noir;S;142.9;2016;0;'Estados Unidos' 'Tinto' 'Seco' 'Pinot Noir'
Louis M. Martini Monte Rosso Cabernet Sauvignon 2014;0.0;R$1.157,90;Estados Unidos;Tinto;Seco;Cabernet Sauvignon;Louis M. Martini Winery;Cerejas e ameixas em compota, notas de couro e especiarias, com toque terroso.;Complexo, encorpado, com taninos presentes, notas de frutas negras, tosta e caramelo.;T-bone grelhado com batatas rústicas, risoto de cogumelos, fettuccine com ragu de carne, carré de cordeiro, lasanha de shitake, linguine à carbonara.;Cabernet Sauvignon;S;1157.9;2014;0;'Estados Unidos' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Casa Burmester Reserva D.O.C. Douro Branco 2017;4.0;R$146,91;Portugal;Branco;Seco;Viosinho, Rabigato, Gouveio;Burmester;Pêssego, pera, abacaxi maduro, toque amadeirado;Frutado, leve, acidez agradável, sutil amadeirado;Espetinho de camarão, penne ao molho branco, bobó de frango, bacalhau ao forno com batatas, torta salgada, salmão grelhado.;Viosinho;N;146.91;2017;0;'Portugal' 'Branco' 'Seco' 'Viosinho'
Château de La Rivière A.O.C. Fronsac 2015;0.0;R$311,91;França;Tinto;Seco;Merlot (84.00%), Cabernet Franc (8.00%), Cabernet Sauvignon (6.00%), Malbec (2.00%);Château de La Rivière;Frutas vermelhas, frutas negras, especiarias, notas do amadurecimento;Encorpado, taninos presentes, boa acidez, fruta e madeira em perfeito equilíbrio;Risoto trufado, pappardelle com ragu de ossobuco, mignon ao molho de nozes com purê de mandioquinha, cupim no bafo ao chimichurri, costeleta de javali com berinjela, magret de pato.;Merlot;N;311.91;2015;0;'França' 'Tinto' 'Seco' 'Merlot'
JP Azeitão Seleção do Enólogo Moscatel Graúdo Fernão Pires 2018;4.0;R$39,91;Portugal;Branco;Seco;Fernão Pires, Moscatel Graúdo;Bacalhôa Vinhos de Portugal;Abacaxi, pêssego, pera, floral, cítrico;Frutado, leve, boa acidez, cítrico;Ceviche de linguado, peroá com fritas, bolinho de bacalhau, frango à milanesa, batatas recheadas com ricota e espinafre, queijos brancos frescos.;Fernão Pires;N;39.91;2018;0;'Portugal' 'Branco' 'Seco' 'Fernão Pires'
Oxford Landing Estates Sauvignon Blanc 2018;4.5;R$101,91;Austrália;Branco;Seco;Sauvignon Blanc (100%);Oxford Landing Estates;Abacaxi, pera, herbáceo, cítrico;Leve, boa acidez, cítrico, herbáceo;Ravióli de ricota e nozes, risole de queijo, bolinho de arroz, espetinho de camarão, torta salgada, quiche de queijo.;Sauvignon Blanc;S;101.91;2018;0;'Austrália' 'Branco' 'Seco' 'Sauvignon Blanc'
Calyptra Zahir 2011;4.5;R$417,90;Chile;Tinto;Seco;Cabernet Sauvignon (100.00%);Calyptra;Cereja, ameixa, cassis, framboesa, especiarias, herbáceo, amadeirado;Encorpado, taninos presentes, boa acidez, frutado, amadeirado, final persistente;Boeuf Bourguignon, lombo de cordeiro ao molho rotie de amora, bife ancho, risoto de gorgonzola com nozes, cogumelos salteados, ossobuco com polenta.;Cabernet Sauvignon;S;417.9;2011;0;'Chile' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Pinhal da Torre Resiliente 2015;4.0;R$1.131,90;Portugal;Tinto;Meio Seco/Demi-Sec;Touriga Nacional, Tinta Francisca, Sousão, Alicante Bouschet;Pinhal da Torre;Amadeirado, frutas negras em compota, cacau, especiarias, tabaco;Potente, taninos presentes, boa acidez, tosta, final longo;Massa ao sugo com polpettone recheado, bombom de alcatra ao molho madeira, filé de cordeiro, coq au vin, risoto de funghi porcini, escalope com talharim na manteiga.;Touriga Nacional;N;1131.9;2015;0;'Portugal' 'Tinto' 'Meio Seco/Demi-Sec' 'Touriga Nacional'
Mise de la Baronnie A.O.C. Pauillac 2015;0.0;R$246,91;França;Tinto;Seco;Cabernet Franc (58%), Merlot (32%), Cabernet Sauvignon (10%);Baron Philippe de Rothschild;Morango maduro, framboesa madura, especiarias, tosta;Corpo médio, taninos presentes, boa acidez, final longo;Picanha na brasa, polenta rústica com cogumelos, pernil suíno ao molho de frutas vermelhas, mignon com molho rôti, pizzas variadas, batatas recheadas com bacon e queijo.;Cabernet Franc;N;246.91;2015;0;'França' 'Tinto' 'Seco' 'Cabernet Franc'
VIK 2012;5.0;R$903,91;Chile;Tinto;Seco;Cabernet Franc (6.00%), Cabernet Sauvignon (53.00%), Merlot (4.00%), Carménère (35.00%), Syrah (2.00%);Vik;Framboesa, cereja, cassis, especiarias, defumado, amadeirado;Potente, taninos firmes, boa acidez, complexo, final longo;Picanha à espanhola, goulasch, bistecca alla fiorentina, bucatini com ragu de cordeiro, shiitake recheado, queijos duros e maduros.;Cabernet Franc;N;903.91;2012;0;'Chile' 'Tinto' 'Seco' 'Cabernet Franc'
Bridlewood Monterey County Pinot Noir 2016;4.0;R$86,90;Estados Unidos;Tinto;Meio Seco/Demi-Sec;Pinot Noir (99.00%), Petite Sirah (1.00%);Bridlewood Estate Winery;Frutas negras, especiarias, leve amadeirado;Corpo de leve para médio, frutado, acidez presente, taninos sedosos;Atum grelhado, filé-mignon com batatas rústicas, tagliatelle ao sugo, pizza marguerita, bacalhau ao forno, risoto com vegetais e bacon.;Pinot Noir;N;86.9;2016;0;'Estados Unidos' 'Tinto' 'Meio Seco/Demi-Sec' 'Pinot Noir'
N° 3 d`Angélus 2014;4.5;R$635,90;França;Tinto;Seco;Merlot (50.00%), Cabernet Franc (50.00%);Château Angélus;Frutas negras maduras, tostado, mentol, couro;Corpo de médio para encorpado, taninos macios, boa acidez, notas do amadurecimento, elegante;Magret de pato ao molho de framboesas, costeletas de cordeiro com lentilhas, coelho à camponesa, t-bone com legumes grelhados, mix de queijos maduros e embutidos, finger foods variados.;Merlot;N;635.9;2014;0;'França' 'Tinto' 'Seco' 'Merlot'
Espumante Fantinel Ribolla Gialla Extra Brut;4.0;R$74,90;Itália;Espumante;Extra Brut;Ribolla Gialla (100%);Fantinel;Maçã verde, pêssego, floral;Leve, boa acidez, frutado, floral;Salada de abacate, salmão defumado, broto de alfafa e alface, risoto de camarão, presunto cru com melão, espaguete com frutos do mar, bruschetta caprese, salgadinho frito.;Ribolla Gialla;S;74.9;0;0;'Itália' 'Espumante' 'Extra Brut' 'Ribolla Gialla'
Ropiteau Frères A.O.C. Puligny-Montrachet Blanc 2016;0.0;R$717,90;França;Branco;Seco;Chardonnay (100.00%);Ropiteau Frères;Frutas amarelas maduras, baunilha, floral;Médio corpo, fresco, notas da madeira, final longo;Lagosta ao molho de iogurte, vieiras grelhadas com aspargos, risoto de bacalhau, robalo assado com batatas, salada niçoise, e queijos como Brie e Camembert, o Clochette ou o Valençay.;Chardonnay;S;717.9;2016;0;'França' 'Branco' 'Seco' 'Chardonnay'
Las Mercedes Remix 2017;0.0;R$162,90;Chile;Tinto;Seco;Carignan (55.00%), Garnacha (5.00%), Syrah (30.00%), Cinsault (10.00%);Bouchon Family Wines;Frutas negras, violeta;Frutado, médio corpo, taninos presentes, final longo;Maminha ao forno com batatas, talharim à carbonara, risoto de queijo, filé à parmegiana, lasanha à bolonhesa, queijos semi-duros.;Carignan;N;162.9;2017;0;'Chile' 'Tinto' 'Seco' 'Carignan'
Parlanchín D.O.Ca. Rioja 2017;5.0;R$115,91;Espanha;Tinto;Seco;Tempranillo (87%), Garnacha (13%);Bodegas D. Mateos;Cereja, morango, frutas negras, alcaçuz, leve amadeirado;Médio corpo, taninos macios, acidez agradável, leve amadeirado;Atum vermelho, mix de legumes, tapas espanholas, cozinha asiática, hambúrguer, aperitivos.;Tempranillo;N;115.91;2017;0;'Espanha' 'Tinto' 'Seco' 'Tempranillo'
William Hill Napa Valley Cabernet Sauvignon 2014;0.0;R$610,90;Estados Unidos;Tinto;Seco;Merlot, Petite Sirah, Cabernet Franc, Cabernet Sauvignon;William Hill Estate Winery;Frutas vermelhas, frutas negras, especiarias, tosta;Médio corpo, acidez agradável, taninos macios, frutado;Lasanha de berinjela com queijo, frango recheado, medalhão de mignon, penne à bolonhesa, churrasco, risoto de bacon.;Merlot;N;610.9;2014;0;'Estados Unidos' 'Tinto' 'Seco' 'Merlot'
Ghost Pines Zinfandel 2016;4.5;R$184,90;Estados Unidos;Tinto;Meio Seco/Demi-Sec;Zinfandel (100.00%);Ghost Pines;Morango, ameixa, cereja negra, amora, baunilha, tosta, especiarias;Encorpado, taninos presentes, acidez agradável;Costela suína ao molho barbecue com batatas rústicas, assado de tira, joelho de porco à pururuca, costela de cordeiro assada com crosta de sal e pimenta, quiche de tomate seco, queijos como emmental, tilsit, estepe e maasdam.;Zinfandel;S;184.9;2016;0;'Estados Unidos' 'Tinto' 'Meio Seco/Demi-Sec' 'Zinfandel'
Espumante Lidio Carraro Faces do Brasil Brut;4.5;R$59,91;Brasil;Espumante;Brut;Chardonnay (100%);Lidio Carraro;Frutas brancas, frutas cítricas, floral, mineral;Leve, frutado, fresco, mineral, delicada cremosidade;Peixe assado, lombo de porco ao molho de ervas, almôndega de frango ao molho, lasanha vegetariana, empadão de palmito, mix de queijos frescos.;Chardonnay;S;59.91;0;0;'Brasil' 'Espumante' 'Brut' 'Chardonnay'
Espumante Lidio Carraro Faces do Brasil Rosé Brut;4.0;R$54,90;Brasil;Espumante;Brut;Pinot Noir (100%);Lidio Carraro;Cereja, morango, romã;Leve, acidez agradável, fácil de beber;Salada com frutas vermelhas, camarão no coco, bruschetta tradicional, torradinhas com patê de salaminho, wrap de peito de peru, salada de bacalhau.;Pinot Noir;S;54.9;0;0;'Brasil' 'Espumante' 'Brut' 'Pinot Noir'
Ropiteau Frères Nuits-St-Georges Rouge 2014;4.0;R$605,91;França;Tinto;Seco;Pinot Noir (100%);Ropiteau Frères;Frutas vermelhas, tosta, terroso, especiarias;Médio corpo, taninos macios, boa acidez;Coq au vin, paella, espaguete com polpetone, risoto de linguiça fresca, salmão grelhado, codorna recheada.;Pinot Noir;S;605.91;2014;0;'França' 'Tinto' 'Seco' 'Pinot Noir'
Ropiteau Frères Premier Cru A.O.C. Puligny-Montrachet Sous Le Puits Blanc 2016;0.0;R$689,90;França;Branco;Seco;Chardonnay (100.00%);Ropiteau Frères;Frutas amarelas, floral, mineral;Medio corpo, boa acidez, untuoso, final longo;Lagosta gratinada, moqueca de badejo, risoto de camarão, fettuccine com frutos do mar, bruschetta de queijo brie e tomate cereja, bacalhoada.;Chardonnay;S;689.9;2016;0;'França' 'Branco' 'Seco' 'Chardonnay'
Fleur Du Cap Laszlo 2015.;5.0;R$444,91;África do Sul;Tinto;Seco;Cabernet Sauvignon, Petit Verdot, Malbec, Merlot;Fleur Du Cap;Frutas negras em compota, frutas vermelhas maduras, couro, tabaco, amadeirado, chocolate;Complexo, intenso, encorpado, acidez agradável, taninos presentes, amadeirado, bom final;Alcatra ao molho de vinho, talharim com ragu de cordeiro, pizza de bacon, lasanha de cogumelos, picanha grelhada, ossobuco com polenta, risoto de parmesão, churrasco.;Cabernet Sauvignon;N;444.91;2015;0;'África do Sul' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Ropiteau Frères A.O.C. Gevrey-Chambertin Rouge 2014;0.0;R$592,90;França;Tinto;Seco;Pinot Noir (100%);Ropiteau Frères;Terroso, cereja, framboesa, especiarias, toque da madeira, ervas frescas;Bom corpo, taninos macios, elegante, boa acidez, final longo;Arroz de pato, salmão na brasa, costeleta suína com couscous marroquino, faisão ao perfume de rosas, mignon em redução balsâmica com purê e risoto de cogumelos.;Pinot Noir;S;592.9;2014;0;'França' 'Tinto' 'Seco' 'Pinot Noir'
Domaine des Sénéchaux A.O.C. Châteauneuf-du-Pape Blanc 2017;4.0;R$385,90;França;Branco;Seco;Bourboulenc (9%), Roussane (36%), Clairette (30%), Grenache Blanc (25%);Domaine des Sénéchaux;Pêssego, pera, maçã madura, flores brancas, baunilha, sutil amadeirado;Frutado, acidez agradável, médio corpo, mineral;Robalo ao forno com batatas, lagosta gratinada, bruschetta de salmão defumado, arroz de mariscos, risoto de pêra com queijo brie, lombo de bacalhau com crosta de amêndoas.;Bourboulenc;N;385.9;2017;0;'França' 'Branco' 'Seco' 'Bourboulenc'
Echo de Lynch-Bages A.O.C. Pauillac 2014;0.0;R$666,90;França;Tinto;Seco;Cabernet Sauvignon (73.00%), Merlot (27.00%);Château Lynch-Bages;Fruta passa, sálvia, cedro, especiarias, amadeirado, couro;Exuberante, encorpado, taninos presentes, boa acidez, final longo;Pernil de cordeiro ao manjericão, queijos maturados, bife ancho premium, ravióli de confit de canard, lasanha de shitake, grelhado de Noix com batata soufflée.;Cabernet Sauvignon;N;666.9;2014;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Chateau Moser XV Blanc de Noir 2018;4.0;R$69,90;China;Branco;Seco;Cabernet Sauvignon (100.00%);Château Changyu Moser XV;Frutas cítricas, toranja, casca de laranja;Fresco, leve, boa acidez e vigor;Peixe grelhado, saladas, quiche de alho poró, fondue de queijo, frutos do mar, aves, risoto de palmito com raspas de limão siciliano.;Cabernet Sauvignon;S;69.9;2018;0;'China' 'Branco' 'Seco' 'Cabernet Sauvignon'
Famille J-M Cazes A.O.C. Saint-Estèphe 2015;0.0;R$367,91;França;Tinto;Seco;Cabernet Sauvignon (59%), Merlot (39%), Cabernet Franc (2%);Domaines Jean-Michel Cazes;Frutas negras, especiarias, leve amadeirado, café;Complexo, elegante, taninos macios, acidez agradável;Penne com ragu de pato, risoto de brie, escalope de mignon, ravióli recheado com mussarela de búfala, boeuf bourguignon, queijos semi-duros.;Cabernet Sauvignon;N;367.91;2015;0;'França' 'Tinto' 'Seco' 'Cabernet Sauvignon'
Fantinel Eclisse La Roncaia I.G.T. Venezia Giulia Branco 2016;0.0;R$205,90;Itália;Branco;Seco;Sauvignon Blanc, Picolit;Fantinel;Frutas brancas maduras, vegetal, floral;Médio corpo, boa acidez, frutado, final agradável;Camarão na moranga, salmão assado com legumes, badejo com purê de mandioquinha, ceviche de linguado, bolinhos de camarão, sushi e sashimi.;Sauvignon Blanc;N;205.9;2016;0;'Itália' 'Branco' 'Seco' 'Sauvignon Blanc'
Domaine des Sénéchaux A.O.C. Châteauneuf-du-Pape 2015;4.0;R$431,90;França;Tinto;Seco;Grenache Noir (61%), Syrah (20%), Mourvèdre (18%), Vaccarèse (1%);Domaine des Sénéchaux;Framboesa, amora, morango, especiarias, tabaco, baunilha;Elegante, boa acidez, taninos presentes, médio corpo, leve amadeirado, final longo;Boeuf Borguignon, risoto de cordeiro, ossobuco com polenta trufada, confit de galinha caipira com quiabo grelhado, filé ao poivre, pappardelle com iscas de file e cogumelos frescos.;Grenache Noir;N;431.9;2015;0;'França' 'Tinto' 'Seco' 'Grenache Noir'
Domaine L'Ostal Cazes Grand Vin 2015;0.0;R$192,91;França;Tinto;Seco;Syrah (70%), Mourvèdre (5%), Carignan (15%), Grenache (10%);Domaines Jean-Michel Cazes;Frutas maduras, floral, especiarias, defumado, leve amadeirado;Encorpado, boa acidez, taninos macios;Champignon ao creme de bacon, medalhão ao molho madeira, fettucine com iscas de filé-mignon, penne com ragu de costela, paleta suína, arroz de pato.;Syrah;N;192.91;2015;0;'França' 'Tinto' 'Seco' 'Syrah'
Château La Fleur-Pétrus A.O.C. Pomerol 2006;0.0;R$3.339,91;França;Tinto;Seco;Merlot (91.00%), Cabernet Franc (6.00%), Petit Verdot (3.00%);Château La Fleur-Pétrus;Frutas vermelhas, frutas negras, violeta, especiarias, cedro, mineral, leve amadeirado;Aveludado, complexo, boa acidez, corpo de médio para encorpado;Arroz de pato, pappardelle com ragu de ossobuco, pizza de jamon e grana padano, picanha de cordeiro com molho roti, risoto trufado com cogumelos, paleta de cordeiro.;Merlot;N;3339.91;2006;0;'França' 'Tinto' 'Seco' 'Merlot'
Cecchi D.O.C. Rosso di Montalcino 2015;3.0;R$119,90;Itália;Tinto;Seco;Sangiovese (100%);Cecchi;Frutas vermelhas, floral, folhas secas;Médio corpo, boa acidez, taninos macios, leve amadeirado;Tagliatelle com ragu de carne, berinjela assada recheada com tomates secos, risoto de mignon, stinco de cordeiro assado ao molho de ervas, maminha grelhada, queijos duros ou semiduros.;Sangiovese;S;119.9;2015;0;'Itália' 'Tinto' 'Seco' 'Sangiovese'
